Original_Trigger_name;Derived_Trigger_Name
OI-IBS Exchange DB Schwenk;
ADC Exchange LB RPC restored;
OI-IBS DB Development Machines: Computer Down;
ADC: Machines Computer Down NetScaler Appliances;
OI-RDA Machines: Memory Utilization greater than or equal 95%;
Linux Xterm Process Ended;
SAP-BASIS Proc ended BELLIN Client Transport.exe;
CITRIX Machines: CPU greater than or equal 95%;
OI-RDA Machines: Computer Down;
ADC Storefront LB restored;
OI-IBS Exchange Fehler Zustellung Event ID 15006 V03;
ADC WEM Services LB restored;
BITZER - i00206 - Machine Down a custom filter - SKZ;
CITRIX Machines: Computer Down ROT_TS ROT;
SAP-SD Less 5GB AND less 10 Percent;
ESX Hypervisor Maintenance off;
ADC Exchange LB OWA degraded;
ADC WEM Services  LB degraded;
OI-RDA Linux Machine Down;
CITRIX Machines FSLogix Error;
Linux less 5 GB;
OI-IBS Backup Machines: Less 15 GB AND less 10 Percent;
ADC Exchange LB Active Sync restored;
CITRIX WEM Service up;
OI-SQL Less 5GB AND less 10 Percent;
CITRIX Broker cannot find any avail VM;
CITRIX Storefront Test;
SAP-SD Machines: Disk Queue greater than or equal 1;
CITRIX PVS Services down;
CITRIX Monitor Delivery Controller Service Down;
OI-IBS-OWI Machines: Disk Queue greater than or equal 5;
ADC  Certificate expiration warning;
ADC Exchange LB OWA restored;
SAP-PP Machines: CPU greater than or equal 95%;
CITRIX License Service down;
CITRIX Machines: Computer Down SDN_TS SYR;
OI-TC Less 5GB AND less 10 Percent;
OI-ROT - Xframe Service Up;
OI-RDA Machines: CPU greater than or equal 95%;
CITRIX WEM Service down;
OI-IBS-OWI Machines: Memory Utilization greater than or equal 95%;
OI-IBS Backup Machines: CPU greater than or equal 95%;
OI-IBS Exchange Fehler Zustellung Event ID 15004;
SAP-SW Machines: Disk Queue greater than or equal 1;
CITRIX Machines WinLogon Error;
SAP-SW Less 5GB AND less 10 Percent;
VMware Horizon Connection Server Health Monitoring;
VMware Horizon Connection Server Events;
Citrix XenDesktop Error Events;
VMware Horizon Connection Server Process Monitoring;
